timestamp,region,load_mw,temperature_c,renewable_share,grid_loss_pct
2026-01-01 00:00,North,1280,2.1,0.31,4.8
2026-01-01 01:00,North,1215,1.7,0.34,4.6
2026-01-01 02:00,North,1188,1.3,0.36,4.5
2026-01-01 03:00,North,1194,1.1,0.35,4.7
2026-01-01 04:00,North,1240,0.9,0.33,4.9
2026-01-01 05:00,North,1375,1.0,0.29,5.1
2026-01-01 06:00,North,1580,1.8,0.25,5.3
2026-01-01 07:00,North,1810,3.2,0.22,5.4
2026-01-01 08:00,North,1965,5.0,0.24,5.2
2026-01-01 09:00,North,2030,6.4,0.28,5.0
2026-01-01 10:00,North,2115,7.2,0.32,4.9
2026-01-01 11:00,North,2200,8.1,0.35,4.7
